Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757493605,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757493606,5,,Aggregated,0.000000,0.000000,920,920,920,940,940,940,940,940,940,940,940,5,0,920.0,919.5567199996731,905.9010000000853,944.5524000002479,53565.0
1757493607,10,,Aggregated,0.000000,0.000000,910,910,920,920,940,940,940,940,940,940,940,10,0,910.0,903.5729799996261,879.1970999991463,944.5524000002479,92632.5
1757493608,10,,Aggregated,0.000000,0.000000,880,910,910,910,920,940,940,940,940,940,940,16,0,880.0,581.767818749654,38.69049999957497,944.5524000002479,82791.6875
1757493609,10,,Aggregated,2.500000,0.000000,55,880,910,910,920,920,940,940,940,940,940,22,0,48,432.44285909068736,28.787799999918207,944.5524000002479,66479.95454545454
1757493610,10,,Aggregated,3.666667,0.000000,48,880,880,910,920,920,940,940,940,940,940,28,0,46,348.8542714284709,28.787799999918207,944.5524000002479,60837.42857142857
1757493611,10,,Aggregated,4.500000,0.000000,46,55,880,880,910,920,940,940,940,940,940,32,0,45,309.5342937499481,28.787799999918207,944.5524000002479,55821.875
1757493612,10,,Aggregated,4.400000,0.000000,43,48,880,880,910,920,940,940,940,940,940,40,0,41,255.580157499935,28.787799999918207,944.5524000002479,53417.125
1757493613,10,,Aggregated,5.166667,0.000000,39,46,55,880,910,920,940,940,940,940,940,47,0,39,222.73423617015726,28.787799999918207,944.5524000002479,48401.46808510638
1757493614,10,,Aggregated,5.142857,0.000000,39,44,48,57,910,920,920,940,940,940,940,53,0,39,201.6148584905681,28.787799999918207,944.5524000002479,45523.79245283019
1757493615,10,,Aggregated,5.250000,0.000000,38,43,48,55,910,920,920,940,940,940,940,60,0,38,182.56349166661798,28.787799999918207,944.5524000002479,45593.76666666667
1757493616,10,,Aggregated,5.444444,0.000000,38,42,48,54,880,910,920,940,940,940,940,68,0,38,165.6178867646946,28.787799999918207,944.5524000002479,47297.58823529412
1757493617,10,,Aggregated,5.600000,0.000000,38,42,46,48,880,910,920,940,940,940,940,72,0,38,158.508174999977,28.787799999918207,944.5524000002479,48007.51388888889
1757493618,10,,Aggregated,6.300000,0.000000,38,41,46,48,880,910,920,940,940,940,940,79,0,38,147.90158734175276,28.787799999918207,944.5524000002479,46806.60759493671
1757493619,10,,Aggregated,6.500000,0.000000,37,41,45,48,880,910,920,940,940,940,940,87,0,37,137.7442172413522,28.787799999918207,944.5524000002479,47713.83908045977
1757493620,10,,Aggregated,6.500000,0.000000,38,41,45,48,880,910,920,940,940,940,940,90,0,37,134.45380888885362,28.787799999918207,944.5524000002479,47040.71111111111
